code,term
10008004,Ewe
10117001,Finns
1024701000000100,Ethnicity not stated
10292001,Guamians
10432001,Onge
107691000000105,Caribbean - ethnic category 2001 census
108342005,South Asian AND/OR Australian aborigine
110401000000103,Turkish - ethnic category 2001 census
110751000000108,Indian or British Indian - ethnic category 2001 census
110761000000106,English - ethnic category 2001 census
110771000000104,Black and White - ethnic category 2001 census
110781000000102,Sinhalese - ethnic category 2001 census
110791000000100,Black British - ethnic category 2001 census
110831000000107,Hindu - ethnic category 2001 census
113169009,Armenians
113170005,Aymara
113171009,Coushatta
11794009,Kenyans
12556008,Tamils
13233008,Flathead
1340002,Malays
13440006,Tanganyikans
14045001,Caucasian
14176005,Danes
14470009,Tutsi
1451003,Greeks
14999008,Welsh
15086000,African American
15801006,Kapingas
160531006,Race: West indian
17095009,Norwegians
17789004,Papuans
18167009,Black African
18575005,Oceanian
18583004,Estonians
185984009,White - ethnic group
185988007,Black Caribbean
185989004,"Black, other, non-mixed origin"
185990008,Black British
185993005,Black - other African country
185995003,Black Indian sub-continent
185996002,Black - other Asian
185998001,"Black - other, mixed"
185999009,Other Black - Black/White orig
186000006,Other Black - Black/Asian orig
186001005,Indian (East Indian)
186002003,Pakistani
186003008,Bangladeshi
186005001,Other ethnic non-mixed (NMO)
186006000,British ethnic minority specified (NMO)
186007009,British ethnic minority unspecified (NMO)
186010002,Other African countries (NMO)
186012005,Indian sub-continent (NMO)
186013000,Other Asian (NMO)
186014006,Irish (NMO)
186017004,Other European (NMO)
186019001,"Other ethnic, mixed origin"
186020007,"Other ethnic, Black/White origin"
186021006,"Other ethnic, Asian/White origin"
186022004,"Other ethnic, mixed white origin"
186023009,"Other ethnic, other mixed origin"
186035008,New Zealand ethnic groups
186036009,New Zealand European
186037000,Other European in New Zealand
186039002,New Zealand Maori
186040000,Cook Island Maori
186041001,Niuean
186042008,Tokelauan
186044009,South East Asian
18664001,Xavante
19085009,Saipanese
1919006,Egyptians
19434008,French
20140003,Hawaiians
20291009,Lacandon
20449009,Javanese
21047009,Aleuts
21868006,Madagascans
21993009,Indonesians
22007004,Shoshone
23517005,Polynesians
23534002,Melanesians
23922002,Batutsi
24812003,Mongol
25750005,Admiralty Islanders
25804004,English
26215007,South Asian Aborigine
2688009,Tristan da Cunhans
270460000,Black Caribbean/West India/Guyana
270461001,Black N African/Arab/Iranian
270462008,Black East African Asian/Indo-Caribbean
270463003,Caribbean I./W.I./Guyana (NMO)
270464009,N African Arab/Iranian (NMO)
